Metric,Value
slope_comparison_outbreak_5d_percentiles_75,-0.037563755049600946
slope_comparison_outbreak_3d_count,20
slope_comparison_outbreak_3d_mean,-0.1404628510879117
slope_comparison_outbreak_3d_median,-0.1649196655371164
slope_comparison_outbreak_3d_std,0.11463720151011801
slope_comparison_outbreak_3d_min,-0.3016531147267751
slope_comparison_outbreak_3d_max,0.028536428911115894
slope_comparison_outbreak_3d_percentiles_25,-0.25015935240139936
slope_comparison_outbreak_3d_percentiles_75,-0.025065326623645193
slope_comparison_outbreak_1d_count,20
slope_comparison_outbreak_1d_mean,-0.1215127465107904
slope_comparison_outbreak_1d_median,-0.10426955874801805
slope_comparison_outbreak_1d_std,0.12070723611001387
slope_comparison_outbreak_1d_min,-0.3261593273576107
slope_comparison_outbreak_1d_max,0.04280345886322719
slope_comparison_outbreak_1d_percentiles_25,-0.21190667117360737
slope_comparison_outbreak_1d_percentiles_75,-0.019434107553054147
slope_comparison_control_7d_count,100
slope_comparison_control_7d_mean,0.005823050727630032
slope_comparison_control_7d_median,0.005149023114174573
slope_comparison_control_7d_std,0.016820165834477964
slope_comparison_control_7d_min,-0.044085041752675865
slope_comparison_control_7d_max,0.05509046985520346
slope_comparison_control_7d_percentiles_25,-0.0018621609451599963
slope_comparison_control_7d_percentiles_75,0.01308337577486298
slope_comparison_control_5d_count,100
slope_comparison_control_5d_mean,0.005406064119472853
slope_comparison_control_5d_median,0.004480629679696745
slope_comparison_control_5d_std,0.019270519077577503
slope_comparison_control_5d_min,-0.06272721408727669
slope_comparison_control_5d_max,0.05598806227740699
slope_comparison_control_5d_percentiles_25,-0.003850271041810911
slope_comparison_control_5d_percentiles_75,0.012759485259104142
slope_comparison_control_3d_count,100
slope_comparison_control_3d_mean,0.00409733570734872
slope_comparison_control_3d_median,0.0022088146946693185
slope_comparison_control_3d_std,0.02390593082770357
slope_comparison_control_3d_min,-0.11415114970821966
slope_comparison_control_3d_max,0.0603390038945073
slope_comparison_control_3d_percentiles_25,-0.004687477152037891
slope_comparison_control_3d_percentiles_75,0.014545156896393062
slope_comparison_control_1d_count,100
slope_comparison_control_1d_mean,0.002227305400843155
slope_comparison_control_1d_median,0.003250548713810377
slope_comparison_control_1d_std,0.031507879825827916
slope_comparison_control_1d_min,-0.16612103565197162
slope_comparison_control_1d_max,0.06357147444559753
slope_comparison_control_1d_percentiles_25,-0.009957714587416924
slope_comparison_control_1d_percentiles_75,0.017888010042470467
statistical_comparisons_value_at_removal_outbreak_mean,-0.03606547010599507
statistical_comparisons_value_at_removal_outbreak_std,0.36664325427308275
statistical_comparisons_value_at_removal_control_mean,0.7292079847733972
statistical_comparisons_value_at_removal_control_std,0.11438364696342014
statistical_comparisons_value_at_removal_p_value,1.4127188433167982e-11
statistical_comparisons_value_at_removal_is_significant,True
statistical_comparisons_value_at_removal_effect_size,4.237027957843085
statistical_comparisons_1d_window_avg_outbreak_mean,0.022159387597092028
statistical_comparisons_1d_window_avg_outbreak_std,0.36698989199239196
statistical_comparisons_1d_window_avg_control_mean,0.7281407342688265
statistical_comparisons_1d_window_avg_control_std,0.11431501158637801
statistical_comparisons_1d_window_avg_p_value,5.662583780122476e-11
statistical_comparisons_1d_window_avg_is_significant,True
statistical_comparisons_1d_window_avg_effect_size,3.907087001082594
statistical_comparisons_3d_window_avg_outbreak_mean,0.1621932999313908
statistical_comparisons_3d_window_avg_outbreak_std,0.36375597806457444
statistical_comparisons_3d_window_avg_control_mean,0.7241317305727292
statistical_comparisons_3d_window_avg_control_std,0.11531830338393918
statistical_comparisons_3d_window_avg_p_value,7.699507798312887e-10
statistical_comparisons_3d_window_avg_is_significant,True
statistical_comparisons_3d_window_avg_effect_size,3.1188703453691065
statistical_comparisons_5d_window_avg_outbreak_mean,0.28753053294844866
statistical_comparisons_5d_window_avg_outbreak_std,0.34250384651538646
statistical_comparisons_5d_window_avg_control_mean,0.7185547973870865
statistical_comparisons_5d_window_avg_control_std,0.11596694827364445
statistical_comparisons_5d_window_avg_p_value,1.66150828435257e-08
statistical_comparisons_5d_window_avg_is_significant,True
