Metric,Value
slope_comparison_outbreak_5d_median,-0.1263160973612768
slope_comparison_outbreak_5d_std,0.08683127468007293
slope_comparison_outbreak_5d_min,-0.2793384721363756
slope_comparison_outbreak_5d_max,0.002345347406309405
slope_comparison_outbreak_5d_percentiles_25,-0.1995448840219558
slope_comparison_outbreak_5d_percentiles_75,-0.037563755049600946
slope_comparison_outbreak_3d_count,20
slope_comparison_outbreak_3d_mean,-0.1404628510879117
slope_comparison_outbreak_3d_median,-0.1649196655371164
slope_comparison_outbreak_3d_std,0.11463720151011801
slope_comparison_outbreak_3d_min,-0.3016531147267751
slope_comparison_outbreak_3d_max,0.028536428911115894
slope_comparison_outbreak_3d_percentiles_25,-0.25015935240139936
slope_comparison_outbreak_3d_percentiles_75,-0.025065326623645193
slope_comparison_outbreak_1d_count,20
slope_comparison_outbreak_1d_mean,-0.1215127465107904
slope_comparison_outbreak_1d_median,-0.10426955874801805
slope_comparison_outbreak_1d_std,0.12070723611001387
slope_comparison_outbreak_1d_min,-0.3261593273576107
slope_comparison_outbreak_1d_max,0.04280345886322719
slope_comparison_outbreak_1d_percentiles_25,-0.21190667117360737
slope_comparison_outbreak_1d_percentiles_75,-0.019434107553054147
slope_comparison_control_7d_count,100
slope_comparison_control_7d_mean,0.0033001931173118194
slope_comparison_control_7d_median,0.003848685444512281
slope_comparison_control_7d_std,0.016580864012892646
slope_comparison_control_7d_min,-0.06760039677337698
slope_comparison_control_7d_max,0.042999349081238605
slope_comparison_control_7d_percentiles_25,-0.0035153655534042663
slope_comparison_control_7d_percentiles_75,0.012773057186112132
slope_comparison_control_5d_count,100
slope_comparison_control_5d_mean,0.003000884600810875
slope_comparison_control_5d_median,0.003092665867529312
slope_comparison_control_5d_std,0.01910969745960763
slope_comparison_control_5d_min,-0.07329730015114645
slope_comparison_control_5d_max,0.05598806227740699
slope_comparison_control_5d_percentiles_25,-0.005169234554938418
slope_comparison_control_5d_percentiles_75,0.012678226922332895
slope_comparison_control_3d_count,100
slope_comparison_control_3d_mean,0.0011316689229302777
slope_comparison_control_3d_median,0.0018811709367690633
slope_comparison_control_3d_std,0.01927932329677755
slope_comparison_control_3d_min,-0.0642339955174674
slope_comparison_control_3d_max,0.052234130520480405
slope_comparison_control_3d_percentiles_25,-0.008742949776480342
slope_comparison_control_3d_percentiles_75,0.01193040297007831
slope_comparison_control_1d_count,100
slope_comparison_control_1d_mean,-0.001461048248550736
slope_comparison_control_1d_median,0.0035111860268916056
slope_comparison_control_1d_std,0.025808283102851944
slope_comparison_control_1d_min,-0.11326953837501565
slope_comparison_control_1d_max,0.060153879035886176
slope_comparison_control_1d_percentiles_25,-0.012324324058487292
slope_comparison_control_1d_percentiles_75,0.011073396627649636
statistical_comparisons_value_at_removal_outbreak_mean,-0.03606547010599507
statistical_comparisons_value_at_removal_outbreak_std,0.36664325427308275
statistical_comparisons_value_at_removal_control_mean,0.7277871213465701
statistical_comparisons_value_at_removal_control_std,0.11489288578693381
statistical_comparisons_value_at_removal_p_value,1.556714703923378e-11
statistical_comparisons_value_at_removal_is_significant,True
statistical_comparisons_value_at_removal_effect_size,4.222825819421482
statistical_comparisons_1d_window_avg_outbreak_mean,0.022159387597092028
statistical_comparisons_1d_window_avg_outbreak_std,0.36698989199239196
statistical_comparisons_1d_window_avg_control_mean,0.7284872069656677
statistical_comparisons_1d_window_avg_control_std,0.11582249641094935
statistical_comparisons_1d_window_avg_p_value,4.687086698467617e-11
statistical_comparisons_1d_window_avg_is_significant,True
statistical_comparisons_1d_window_avg_effect_size,3.891696050367826
statistical_comparisons_3d_window_avg_outbreak_mean,0.1621932999313908
statistical_comparisons_3d_window_avg_outbreak_std,0.36375597806457444
statistical_comparisons_3d_window_avg_control_mean,0.727916119856376
statistical_comparisons_3d_window_avg_control_std,0.11524294144894615
statistical_comparisons_3d_window_avg_p_value,7.044515174747252e-10
statistical_comparisons_3d_window_avg_is_significant,True
statistical_comparisons_3d_window_avg_effect_size,3.1405797011202523
statistical_comparisons_5d_window_avg_outbreak_mean,0.28753053294844866
statistical_comparisons_5d_window_avg_outbreak_std,0.34250384651538646
statistical_comparisons_5d_window_avg_control_mean,0.7244770101557287
statistical_comparisons_5d_window_avg_control_std,0.11445181059438791
statistical_comparisons_5d_window_avg_p_value,1.4100805615815633e-08
statistical_comparisons_5d_window_avg_is_significant,True
statistical_comparisons_5d_window_avg_effect_size,2.5278255812384147
statistical_comparisons_7d_window_avg_outbreak_mean,0.38343077319294194
statistical_comparisons_7d_window_avg_outbreak_std,0.2971330110407575
statistical_comparisons_7d_window_avg_control_mean,0.721769652390975
statistical_comparisons_7d_window_avg_control_std,0.11406935254434288
statistical_comparisons_7d_window_avg_p_value,3.0087081955842365e-07
statistical_comparisons_7d_window_avg_is_significant,True
statistical_comparisons_7d_window_avg_effect_size,2.1341921532767274
statistical_comparisons_1d_window_slope_outbreak_mean,-0.1215127465107904
statistical_comparisons_1d_window_slope_outbreak_std,0.12384301118890563
statistical_comparisons_1d_window_slope_control_mean,-0.001461048248550736
statistical_comparisons_1d_window_slope_control_std,0.025938300465281557
statistical_comparisons_1d_window_slope_p_value,6.830009768707419e-05
statistical_comparisons_1d_window_slope_is_significant,True
statistical_comparisons_1d_window_slope_effect_size,2.179519868271747
statistical_comparisons_3d_window_slope_outbreak_mean,-0.1404628510879117
statistical_comparisons_3d_window_slope_outbreak_std,0.11761528709300462
statistical_comparisons_3d_window_slope_control_mean,0.0011316689229302777
statistical_comparisons_3d_window_slope_control_std,0.01937644896586934
statistical_comparisons_3d_window_slope_p_value,5.436443134439148e-07
statistical_comparisons_3d_window_slope_is_significant,True
statistical_comparisons_3d_window_slope_effect_size,2.808178161545961
