pen,datespan,days_before_removal,lying_pigs,not_lying_pigs,group
Pen 2,221219_230125,0,10.10223436347257,7.724300433549591,control
Pen 2,221219_230125,-1,4.363001872334141,8.11585036778045,control
Pen 2,221219_230125,-3,4.090507713325029,8.416525676607346,control
Pen 2,221219_230125,-5,4.754807507918692,7.5481973995255585,control
Pen 2,221219_230125,0,4.944532904649548,7.724300433549591,control
Pen 2,221219_230125,-1,10.598135345011661,8.11585036778045,control
Pen 2,221219_230125,-3,10.06380301940772,8.416525676607346,control
Pen 2,221219_230125,-5,10.10223436347257,7.5481973995255585,control
Pen 2,221219_230125,-7,9.625768910840684,7.319249298447599,control
Pen 2,221219_230125,0,10.90468517880781,7.724300433549591,control
Pen 2,221219_230125,-1,8.529557543755502,8.11585036778045,control
Pen 2,221219_230125,-3,6.297833298625299,8.416525676607346,control
Pen 2,221219_230125,-5,4.944532904649548,7.5481973995255585,control
Pen 2,221219_230125,-7,3.6179496983686548,7.319249298447599,control
Pen 2,221219_230125,0,8.691732152504821,7.724300433549591,control
Pen 2,221219_230125,-1,8.691732152504821,8.11585036778045,control
Pen 2,221219_230125,-3,7.400596608147555,8.416525676607346,control
Pen 2,221219_230125,-5,5.525486707162784,7.5481973995255585,control
Pen 2,221219_230125,-7,4.363001872334141,7.319249298447599,control
Pen 2,221219_230125,0,8.481272534929646,7.724300433549591,control
Pen 2,230227_230405,-1,6.652573252422045,8.166031161216287,control
Pen 2,230227_230405,-3,5.223529445116246,7.571394021813543,control
Pen 2,230227_230405,-5,5.092856973142734,6.4908138010158,control
Pen 2,230227_230405,-7,4.79946055187634,7.403805612177742,control
Pen 2,230227_230405,0,6.825961949828465,8.487505852877034,control
Pen 2,230227_230405,-1,10.607047015748089,8.166031161216287,control
Pen 2,230227_230405,-3,9.777742579009617,7.571394021813543,control
Pen 2,230227_230405,-5,9.260157785119668,6.4908138010158,control
Pen 2,230227_230405,-7,7.765927718621523,7.403805612177742,control
Pen 2,230227_230405,0,10.744064934357466,8.487505852877034,control
Pen 2,230227_230405,-1,12.010172369115812,8.166031161216287,control
Pen 2,230227_230405,-3,12.020704557008798,7.571394021813543,control
Pen 2,230227_230405,-5,12.099143330380182,6.4908138010158,control
Pen 2,230227_230405,-7,11.261510551967731,7.403805612177742,control
Pen 2,230227_230405,0,12.069452961669848,8.487505852877034,control
Pen 2,230227_230405,-1,7.116203786583259,8.166031161216287,control
Pen 2,230227_230405,-3,6.825961949828465,7.571394021813543,control
Pen 2,230227_230405,-5,6.094990977772923,6.4908138010158,control
Pen 2,230227_230405,-7,4.882440788689521,7.403805612177742,control
Pen 2,230227_230405,0,7.765927718621523,8.487505852877034,control
Pen 2,230227_230405,-1,9.777742579009617,8.166031161216287,control
Pen 2,230227_230405,-3,9.260157785119668,7.571394021813543,control
Pen 2,230227_230405,-5,7.765927718621523,6.4908138010158,control
Pen 2,230227_230405,-7,6.94551121981759,7.403805612177742,control
Pen 2,230227_230405,0,10.33237860351258,8.487505852877034,control
Pen 3,211222_220119,-1,10.301546886966817,6.826071392116418,control
Pen 3,211222_220119,-3,10.239030547097533,7.005145466190491,control
Pen 3,211222_220119,-5,9.56887188479728,7.551387427599766,control
Pen 3,211222_220119,-7,10.31294117647059,6.684466230936818,control
Pen 3,211222_220119,0,10.625555555555556,6.442233115468409,control
Pen 3,211222_220119,-1,10.340437963922163,6.826071392116418,control
Pen 3,211222_220119,-3,10.625555555555556,7.005145466190491,control
Pen 3,211222_220119,-5,10.260130764962458,7.551387427599766,control
Pen 3,211222_220119,-7,9.890070141877889,6.684466230936818,control
Pen 3,211222_220119,0,10.346015305970093,6.442233115468409,control
Pen 3,211222_220119,-1,10.625555555555556,6.826071392116418,control
Pen 3,211222_220119,-3,10.260130764962458,7.005145466190491,control
Pen 3,211222_220119,-5,9.890070141877889,7.551387427599766,control
Pen 3,211222_220119,-7,9.533555980657844,6.684466230936818,control
Pen 3,211222_220119,0,10.475707245936235,6.442233115468409,control
Pen 3,211222_220119,-1,10.31294117647059,6.826071392116418,control
Pen 3,211222_220119,-3,10.38717668401319,7.005145466190491,control
Pen 3,211222_220119,-5,10.219706533605054,7.551387427599766,control
Pen 3,211222_220119,-7,10.428678279133722,6.684466230936818,control
Pen 3,211222_220119,0,9.533555980657844,6.442233115468409,control
Pen 3,211222_220119,-1,9.890070141877889,6.826071392116418,control
Pen 3,211222_220119,-3,9.533555980657844,7.005145466190491,control
Pen 3,211222_220119,-5,10.399919027307043,7.551387427599766,control
Pen 3,211222_220119,-7,10.2173610717651,6.684466230936818,control
Pen 3,211222_220119,0,10.239030547097533,6.442233115468409,control
Pen 3,220725_220905,-1,12.713039763321248,11.227585350084695,control
Pen 3,220725_220905,-3,13.162727261969236,10.749590251580718,control
Pen 3,220725_220905,-5,13.77712305065748,10.087359580231661,control
Pen 3,220725_220905,-7,11.63610319580048,11.755214587984083,control
Pen 3,220725_220905,0,13.207679456099811,10.76021181110635,control
Pen 3,220725_220905,-1,11.63610319580048,11.227585350084695,control
Pen 3,220725_220905,-3,12.455472335320986,10.749590251580718,control
Pen 3,220725_220905,-5,15.289038539520064,10.087359580231661,control
Pen 3,220725_220905,-7,15.015831050037809,11.755214587984083,control
Pen 3,220725_220905,0,13.086990259298256,10.76021181110635,control
Pen 3,220725_220905,-1,17.242511476175647,11.227585350084695,control
Pen 3,220725_220905,-3,17.62208998245478,10.749590251580718,control
Pen 3,220725_220905,-5,16.641042245718996,10.087359580231661,control
Pen 3,220725_220905,-7,15.809403021420138,11.755214587984083,control
Pen 3,220725_220905,0,16.983734115480438,10.76021181110635,control
Pen 3,220725_220905,-1,15.289038539520064,11.227585350084695,control
Pen 3,220725_220905,-3,15.015831050037809,10.749590251580718,control
Pen 3,220725_220905,-5,11.58399696481908,10.087359580231661,control
Pen 3,220725_220905,0,14.200544848920236,10.76021181110635,control
Pen 3,220725_220905,-1,15.257027794886755,11.227585350084695,control
Pen 3,220725_220905,-3,13.207679456099811,10.749590251580718,control
Pen 3,220725_220905,-5,12.605602482005885,10.087359580231661,control
Pen 3,220725_220905,-7,13.736532233081988,11.755214587984083,control
Pen 3,220725_220905,0,15.718075127773515,10.76021181110635,control
Pen 3,221219_230125,-1,12.246250893178571,10.287507103104792,control
Pen 3,221219_230125,-3,13.05515988928267,8.829351115051443,control
Pen 3,221219_230125,-5,13.119252172454921,8.791285429258343,control
Pen 3,221219_230125,-7,12.274099422145598,9.027414712849199,control
Pen 3,221219_230125,0,12.374194801821991,10.756470918511361,control
Pen 3,221219_230125,-1,13.835709767031291,10.287507103104792,control
Pen 3,221219_230125,-3,14.186139948738164,8.829351115051443,control
Pen 3,221219_230125,-5,12.374194801821991,8.791285429258343,control
Pen 3,221219_230125,-7,12.493258849779759,9.027414712849199,control
Pen 3,221219_230125,0,13.77994073930761,10.756470918511361,control
Pen 3,221219_230125,-1,14.032115147624339,10.287507103104792,control
Pen 3,221219_230125,-3,13.77994073930761,8.829351115051443,control
Pen 3,221219_230125,-5,14.194110483003398,8.791285429258343,control
Pen 3,221219_230125,-7,13.29618789017722,9.027414712849199,control
Pen 3,221219_230125,0,13.59512503272879,10.756470918511361,control
Pen 3,221219_230125,-1,13.069556185107311,10.287507103104792,control
Pen 3,221219_230125,-3,12.500410737390837,8.829351115051443,control
Pen 3,221219_230125,-5,13.419269997481726,8.791285429258343,control
Pen 3,221219_230125,-7,13.59512503272879,9.027414712849199,control
Pen 3,221219_230125,0,15.183439520441377,10.756470918511361,control
Pen 3,221219_230125,-1,15.392492003384652,10.287507103104792,control
Pen 3,221219_230125,-3,13.069556185107311,8.829351115051443,control
Pen 3,221219_230125,-5,12.500410737390837,8.791285429258343,control
Pen 3,221219_230125,-7,13.419269997481726,9.027414712849199,control
Pen 3,221219_230125,0,15.656025594812691,10.756470918511361,control
Pen 3,230227_230406,-1,14.583392256770779,9.454086100505203,control
Pen 3,230227_230406,-3,13.7615363797221,10.258486608662304,control
Pen 3,230227_230406,-5,14.243103686920572,9.799592102745871,control
Pen 3,230227_230406,-7,13.767481205786588,10.232083433348663,control
Pen 3,230227_230406,0,14.392175069835725,9.653647124542971,control
Pen 3,230227_230406,-1,14.230091328864546,9.454086100505203,control
Pen 3,230227_230406,-3,13.98256568273554,10.258486608662304,control
Pen 3,230227_230406,-5,15.247773173526681,9.799592102745871,control
Pen 3,230227_230406,-7,14.80567710405009,10.232083433348663,control
Pen 3,230227_230406,0,15.025495750708219,9.653647124542971,control
