pen,datespan,days_before_removal,date,upright_tails,hanging_tails,posture_diff,group,sample_id
Pen 2,220725_220831,6,2022-07-30,0.878129324908346,0.12187067509165396,0.756258649816692,control,4
Pen 2,220725_220831,7,2022-07-29,0.8794630706982366,0.1205369293017633,0.7589261413964734,control,4
Pen 2,220725_220831,8,2022-07-28,0.8966404371185327,0.10335956288146725,0.7932808742370655,control,4
Pen 2,220725_220831,9,2022-07-27,0.9004984816457217,0.09950151835427835,0.8009969632914434,control,4
Pen 2,220725_220831,10,2022-07-26,0.9017417339166699,0.09825826608333015,0.8034834678333397,control,4
Pen 2,220725_220831,0,2022-08-02,0.9023665594449573,0.0976334405550428,0.8047331188899145,control,5
Pen 2,220725_220831,1,2022-08-01,0.8879340619915385,0.11206593800846165,0.7758681239830767,control,5
Pen 2,220725_220831,2,2022-07-31,0.8888818277112289,0.1111181722887712,0.7777636554224577,control,5
Pen 2,220725_220831,3,2022-07-30,0.878129324908346,0.12187067509165396,0.756258649816692,control,5
Pen 2,220725_220831,4,2022-07-29,0.8794630706982366,0.1205369293017633,0.7589261413964734,control,5
Pen 2,220725_220831,5,2022-07-28,0.8966404371185327,0.10335956288146725,0.7932808742370655,control,5
Pen 2,220725_220831,6,2022-07-27,0.9004984816457217,0.09950151835427835,0.8009969632914434,control,5
Pen 2,220725_220831,7,2022-07-26,0.9017417339166699,0.09825826608333015,0.8034834678333397,control,5
Pen 2,220725_220831,8,2022-07-25,0.8936101771488061,0.10638982285119386,0.7872203542976122,control,5
Pen 2,230227_230405,0,2023-03-23,0.8764829876196476,0.1235170123803523,0.7529659752392953,control,1
Pen 2,230227_230405,1,2023-03-22,0.8607763863471694,0.13922361365283067,0.7215527726943386,control,1
Pen 2,230227_230405,2,2023-03-21,0.8537849883223797,0.14621501167762022,0.7075699766447596,control,1
Pen 2,230227_230405,3,2023-03-20,0.8569828447330204,0.14301715526697947,0.7139656894660411,control,1
Pen 2,230227_230405,4,2023-03-19,0.8808563335786612,0.11914366642133879,0.7617126671573224,control,1
Pen 2,230227_230405,5,2023-03-18,0.9040108784688788,0.09598912153112123,0.8080217569377576,control,1
Pen 2,230227_230405,6,2023-03-17,0.920283498172643,0.07971650182735716,0.8405669963452856,control,1
Pen 2,230227_230405,7,2023-03-16,0.9170871009009495,0.08291289909905049,0.834174201801899,control,1
Pen 2,230227_230405,8,2023-03-15,0.9198870939917296,0.08011290600827041,0.8397741879834593,control,1
Pen 2,230227_230405,9,2023-03-14,0.9153330637213065,0.08466693627869344,0.8306661274426131,control,1
Pen 2,230227_230405,10,2023-03-13,0.9192317375075941,0.08076826249240567,0.8384634750151886,control,1
Pen 2,230227_230405,0,2023-03-07,0.863702761989274,0.13629723801072596,0.7274055239785482,control,2
Pen 2,230227_230405,1,2023-03-06,0.8596922261715451,0.14030777382845483,0.7193844523430903,control,2
Pen 2,230227_230405,2,2023-03-05,0.8538765673647223,0.14612343263527774,0.7077531347294445,control,2
Pen 2,230227_230405,3,2023-03-04,0.8494337019677619,0.15056629803223803,0.6988674039355239,control,2
Pen 2,230227_230405,4,2023-03-03,0.8672016429093116,0.13279835709068852,0.7344032858186229,control,2
Pen 2,230227_230405,5,2023-03-02,0.8725772756731957,0.1274227243268043,0.7451545513463914,control,2
Pen 2,230227_230405,6,2023-03-01,0.8431928168318472,0.1568071831681527,0.6863856336636945,control,2
Pen 2,230227_230405,7,2023-02-28,0.7725784124873413,0.22742158751265876,0.5451568249746824,control,2
Pen 2,230227_230405,8,2023-02-27,0.7283499507275585,0.2716500492724415,0.45669990145511696,control,2
Pen 2,230227_230405,0,2023-03-11,0.8928315483903612,0.1071684516096389,0.7856630967807222,control,3
Pen 2,230227_230405,1,2023-03-10,0.8910399059641594,0.10896009403584067,0.7820798119283188,control,3
Pen 2,230227_230405,2,2023-03-09,0.8859617704309165,0.11403822956908354,0.7719235408618331,control,3
Pen 2,230227_230405,3,2023-03-08,0.8772505599364268,0.12274944006357313,0.7545011198728537,control,3
Pen 2,230227_230405,4,2023-03-07,0.863702761989274,0.13629723801072596,0.7274055239785482,control,3
Pen 2,230227_230405,5,2023-03-06,0.8596922261715451,0.14030777382845483,0.7193844523430903,control,3
Pen 2,230227_230405,6,2023-03-05,0.8538765673647223,0.14612343263527774,0.7077531347294445,control,3
Pen 2,230227_230405,7,2023-03-04,0.8494337019677619,0.15056629803223803,0.6988674039355239,control,3
Pen 2,230227_230405,8,2023-03-03,0.8672016429093116,0.13279835709068852,0.7344032858186229,control,3
Pen 2,230227_230405,9,2023-03-02,0.8725772756731957,0.1274227243268043,0.7451545513463914,control,3
Pen 2,230227_230405,10,2023-03-01,0.8431928168318472,0.1568071831681527,0.6863856336636945,control,3
Pen 2,230227_230405,0,2023-03-15,0.9198870939917296,0.08011290600827041,0.8397741879834593,control,4
Pen 2,230227_230405,1,2023-03-14,0.9153330637213065,0.08466693627869344,0.8306661274426131,control,4
Pen 2,230227_230405,2,2023-03-13,0.9192317375075941,0.08076826249240567,0.8384634750151886,control,4
Pen 2,230227_230405,3,2023-03-12,0.9029594626713884,0.09704053732861162,0.8059189253427768,control,4
Pen 2,230227_230405,4,2023-03-11,0.8928315483903612,0.1071684516096389,0.7856630967807222,control,4
Pen 2,230227_230405,5,2023-03-10,0.8910399059641594,0.10896009403584067,0.7820798119283188,control,4
Pen 2,230227_230405,6,2023-03-09,0.8859617704309165,0.11403822956908354,0.7719235408618331,control,4
Pen 2,230227_230405,7,2023-03-08,0.8772505599364268,0.12274944006357313,0.7545011198728537,control,4
Pen 2,230227_230405,8,2023-03-07,0.863702761989274,0.13629723801072596,0.7274055239785482,control,4
Pen 2,230227_230405,9,2023-03-06,0.8596922261715451,0.14030777382845483,0.7193844523430903,control,4
Pen 2,230227_230405,10,2023-03-05,0.8538765673647223,0.14612343263527774,0.7077531347294445,control,4
Pen 2,230227_230405,0,2023-03-31,0.8257052693899262,0.17429473061007364,0.6514105387798527,control,5
Pen 2,230227_230405,1,2023-03-30,0.8649406858426948,0.1350593141573052,0.7298813716853895,control,5
Pen 2,230227_230405,2,2023-03-29,0.864677648019588,0.135322351980412,0.7293552960391759,control,5
Pen 2,230227_230405,3,2023-03-28,0.8453163711618433,0.15468362883815676,0.6906327423236864,control,5
Pen 2,230227_230405,4,2023-03-27,0.8514683363343746,0.1485316636656254,0.702936672668749,control,5
Pen 2,230227_230405,5,2023-03-26,0.8538884995045195,0.14611150049548044,0.707776999009039,control,5
Pen 2,230227_230405,6,2023-03-25,0.8682755715549039,0.1317244284450961,0.7365511431098076,control,5
Pen 2,230227_230405,7,2023-03-24,0.8702479759664102,0.12975202403358968,0.7404959519328206,control,5
Pen 2,230227_230405,8,2023-03-23,0.8764829876196476,0.1235170123803523,0.7529659752392953,control,5
Pen 2,230227_230405,9,2023-03-22,0.8607763863471694,0.13922361365283067,0.7215527726943386,control,5
Pen 2,230227_230405,10,2023-03-21,0.8537849883223797,0.14621501167762022,0.7075699766447596,control,5
Pen 3,211222_220119,0,2022-01-08,0.9051874272912648,0.09481257270873522,0.8103748545825296,control,1
Pen 3,211222_220119,1,2022-01-07,0.9087677245267695,0.09123227547323039,0.8175354490535393,control,1
Pen 3,211222_220119,2,2022-01-06,0.9142113993908104,0.08578860060918962,0.8284227987816207,control,1
Pen 3,211222_220119,3,2022-01-05,0.9133186946287734,0.0866813053712267,0.8266373892575466,control,1
Pen 3,211222_220119,4,2022-01-04,0.9094252761231766,0.09057472387682342,0.8188505522463531,control,1
Pen 3,211222_220119,5,2022-01-03,0.9060059463893805,0.09399405361061963,0.8120118927787608,control,1
Pen 3,211222_220119,6,2022-01-02,0.899161352950565,0.10083864704943506,0.7983227059011299,control,1
Pen 3,211222_220119,7,2022-01-01,0.8903396085283535,0.10966039147164651,0.780679217056707,control,1
Pen 3,211222_220119,8,2021-12-31,0.8877503193759687,0.11224968062403128,0.7755006387519373,control,1
Pen 3,211222_220119,9,2021-12-30,0.8976889249260581,0.10231107507394181,0.7953778498521163,control,1
Pen 3,211222_220119,10,2021-12-29,0.9019186774149489,0.09808132258505113,0.8038373548298977,control,1
Pen 3,211222_220119,0,2022-01-14,0.8870355946996042,0.1129644053003958,0.7740711893992085,control,2
Pen 3,211222_220119,1,2022-01-13,0.8884583266155045,0.11154167338449546,0.7769166532310091,control,2
Pen 3,211222_220119,2,2022-01-12,0.8893173296054875,0.11068267039451248,0.778634659210975,control,2
Pen 3,211222_220119,3,2022-01-11,0.9001644193560917,0.09983558064390831,0.8003288387121833,control,2
Pen 3,211222_220119,4,2022-01-10,0.9078562061530996,0.09214379384690048,0.815712412306199,control,2
Pen 3,211222_220119,5,2022-01-09,0.9096723041971376,0.09032769580286239,0.8193446083942751,control,2
Pen 3,211222_220119,6,2022-01-08,0.9051874272912648,0.09481257270873522,0.8103748545825296,control,2
Pen 3,211222_220119,7,2022-01-07,0.9087677245267695,0.09123227547323039,0.8175354490535393,control,2
Pen 3,211222_220119,8,2022-01-06,0.9142113993908104,0.08578860060918962,0.8284227987816207,control,2
Pen 3,211222_220119,9,2022-01-05,0.9133186946287734,0.0866813053712267,0.8266373892575466,control,2
Pen 3,211222_220119,10,2022-01-04,0.9094252761231766,0.09057472387682342,0.8188505522463531,control,2
Pen 3,211222_220119,0,2022-01-06,0.9142113993908104,0.08578860060918962,0.8284227987816207,control,3
Pen 3,211222_220119,1,2022-01-05,0.9133186946287734,0.0866813053712267,0.8266373892575466,control,3
Pen 3,211222_220119,2,2022-01-04,0.9094252761231766,0.09057472387682342,0.8188505522463531,control,3
Pen 3,211222_220119,3,2022-01-03,0.9060059463893805,0.09399405361061963,0.8120118927787608,control,3
Pen 3,211222_220119,4,2022-01-02,0.899161352950565,0.10083864704943506,0.7983227059011299,control,3
Pen 3,211222_220119,5,2022-01-01,0.8903396085283535,0.10966039147164651,0.780679217056707,control,3
Pen 3,211222_220119,6,2021-12-31,0.8877503193759687,0.11224968062403128,0.7755006387519373,control,3
Pen 3,211222_220119,7,2021-12-30,0.8976889249260581,0.10231107507394181,0.7953778498521163,control,3
Pen 3,211222_220119,8,2021-12-29,0.9019186774149489,0.09808132258505113,0.8038373548298977,control,3
Pen 3,211222_220119,9,2021-12-28,0.9111093177383854,0.08889068226161462,0.8222186354767708,control,3
Pen 3,211222_220119,10,2021-12-27,0.9107406424135384,0.08925935758646164,0.8214812848270766,control,3
Pen 3,211222_220119,0,2022-01-04,0.9094252761231766,0.09057472387682342,0.8188505522463531,control,4
Pen 3,211222_220119,1,2022-01-03,0.9060059463893805,0.09399405361061963,0.8120118927787608,control,4
Pen 3,211222_220119,2,2022-01-02,0.899161352950565,0.10083864704943506,0.7983227059011299,control,4
Pen 3,211222_220119,3,2022-01-01,0.8903396085283535,0.10966039147164651,0.780679217056707,control,4
Pen 3,211222_220119,4,2021-12-31,0.8877503193759687,0.11224968062403128,0.7755006387519373,control,4
Pen 3,211222_220119,5,2021-12-30,0.8976889249260581,0.10231107507394181,0.7953778498521163,control,4
Pen 3,211222_220119,6,2021-12-29,0.9019186774149489,0.09808132258505113,0.8038373548298977,control,4
Pen 3,211222_220119,7,2021-12-28,0.9111093177383854,0.08889068226161462,0.8222186354767708,control,4
Pen 3,211222_220119,8,2021-12-27,0.9107406424135384,0.08925935758646164,0.8214812848270766,control,4
Pen 3,211222_220119,9,2021-12-26,0.915330108570251,0.08466989142974905,0.8306602171405019,control,4
Pen 3,211222_220119,10,2021-12-25,0.8876152431926814,0.11238475680731863,0.7752304863853627,control,4
Pen 3,211222_220119,0,2021-12-29,0.9019186774149489,0.09808132258505113,0.8038373548298977,control,5
Pen 3,211222_220119,1,2021-12-28,0.9111093177383854,0.08889068226161462,0.8222186354767708,control,5
Pen 3,211222_220119,2,2021-12-27,0.9107406424135384,0.08925935758646164,0.8214812848270766,control,5
Pen 3,211222_220119,3,2021-12-26,0.915330108570251,0.08466989142974905,0.8306602171405019,control,5
Pen 3,211222_220119,4,2021-12-25,0.8876152431926814,0.11238475680731863,0.7752304863853627,control,5
Pen 3,211222_220119,5,2021-12-24,0.85976217893211,0.14023782106788993,0.7195243578642202,control,5
Pen 3,211222_220119,6,2021-12-23,0.824153746937284,0.17584625306271592,0.6483074938745682,control,5
Pen 3,211222_220119,7,2021-12-22,0.8156140824885804,0.18438591751141964,0.6312281649771607,control,5
Pen 3,220725_220905,0,2022-08-23,0.9228083583817078,0.07719164161829208,0.8456167167634159,control,1
Pen 3,220725_220905,1,2022-08-22,0.9156629022913538,0.08433709770864616,0.8313258045827077,control,1
Pen 3,220725_220905,2,2022-08-21,0.9229451140899668,0.07705488591003322,0.8458902281799335,control,1
Pen 3,220725_220905,3,2022-08-20,0.9159364868107471,0.08406351318925287,0.8318729736214943,control,1
Pen 3,220725_220905,4,2022-08-19,0.9146614688899887,0.08533853111001148,0.829322937779977,control,1
Pen 3,220725_220905,5,2022-08-18,0.9047351575740517,0.09526484242594835,0.8094703151481033,control,1
Pen 3,220725_220905,6,2022-08-17,0.9020430186958004,0.09795698130419955,0.8040860373916009,control,1
Pen 3,220725_220905,7,2022-08-16,0.9055622489269061,0.09443775107309381,0.8111244978538124,control,1
Pen 3,220725_220905,8,2022-08-15,0.9072676501525248,0.09273234984747518,0.8145353003050496,control,1
Pen 3,220725_220905,9,2022-08-14,0.8936611583732536,0.10633884162674652,0.7873223167465069,control,1
Pen 3,220725_220905,10,2022-08-13,0.8731933730821483,0.12680662691785186,0.7463867461642963,control,1
