pen,datespan,days_before_removal,date,upright_tails,hanging_tails,posture_diff,group
Pen 1,230515_230620,8,2023-06-12,0.881259442060441,0.11874055793955911,0.7625188841208819,outbreak
Pen 1,230515_230620,9,2023-06-11,0.9125659576175984,0.08743404238240166,0.8251319152351968,outbreak
Pen 1,230515_230620,10,2023-06-10,0.9241528891127295,0.0758471108872706,0.8483057782254587,outbreak
Pen 2,211227_220119,0,2022-01-19,0.8092478486865233,0.19075215131347673,0.6184956973730467,outbreak
Pen 2,211227_220119,1,2022-01-18,0.8019630741669008,0.19803692583309918,0.6039261483338016,outbreak
Pen 2,211227_220119,2,2022-01-17,0.7980932717969539,0.20190672820304614,0.5961865435939077,outbreak
Pen 2,211227_220119,3,2022-01-16,0.806969369712454,0.19303063028754597,0.6139387394249081,outbreak
Pen 2,211227_220119,4,2022-01-15,0.8230215520785774,0.17697844792142256,0.6460431041571549,outbreak
Pen 2,211227_220119,5,2022-01-14,0.8370590000846856,0.16294099991531438,0.6741180001693712,outbreak
Pen 2,211227_220119,6,2022-01-13,0.8562176465383002,0.14378235346169974,0.7124352930766005,outbreak
Pen 2,211227_220119,7,2022-01-12,0.8671034847040441,0.13289651529595595,0.734206969408088,outbreak
Pen 2,211227_220119,8,2022-01-11,0.8748777817956562,0.12512221820434374,0.7497555635913126,outbreak
Pen 2,211227_220119,9,2022-01-10,0.8627054322779247,0.1372945677220753,0.7254108645558494,outbreak
Pen 2,211227_220119,10,2022-01-09,0.8602921853558817,0.13970781464411822,0.7205843707117635,outbreak
Pen 2,220228_220331,0,2022-03-31,0.7827469717407338,0.21725302825926618,0.5654939434814676,outbreak
Pen 2,220228_220331,1,2022-03-30,0.7980204528486908,0.20197954715130917,0.5960409056973818,outbreak
Pen 2,220228_220331,2,2022-03-29,0.834354620345124,0.1656453796548761,0.6687092406902478,outbreak
Pen 2,220228_220331,3,2022-03-28,0.822123516753985,0.177876483246015,0.6442470335079701,outbreak
Pen 2,220228_220331,4,2022-03-27,0.8299665867089976,0.1700334132910024,0.6599331734179952,outbreak
Pen 2,220228_220331,5,2022-03-26,0.8522276828904191,0.14777231710958086,0.7044553657808382,outbreak
Pen 2,220228_220331,6,2022-03-25,0.8676397938426453,0.13236020615735475,0.7352795876852906,outbreak
Pen 2,220228_220331,7,2022-03-24,0.8961693152018168,0.10383068479818325,0.7923386304036334,outbreak
Pen 2,220228_220331,8,2022-03-23,0.918325830509052,0.0816741694909479,0.8366516610181041,outbreak
Pen 2,220228_220331,9,2022-03-22,0.9460708261408916,0.053929173859108365,0.8921416522817832,outbreak
Pen 2,220228_220331,10,2022-03-21,0.9446775850629757,0.05532241493702428,0.8893551701259513,outbreak
Pen 2,221003_221106,0,2022-11-06,0.34834352673407215,0.6516564732659279,-0.3033129465318558,outbreak
Pen 2,221003_221106,1,2022-11-05,0.49847347125956404,0.5015265287404359,-0.003053057480871905,outbreak
Pen 2,221003_221106,2,2022-11-04,0.6061783150030727,0.3938216849969272,0.21235663000614552,outbreak
Pen 2,221003_221106,3,2022-11-03,0.8215756524754034,0.17842434752459663,0.6431513049508067,outbreak
Pen 2,221003_221106,4,2022-11-02,0.8510708147774634,0.14892918522253665,0.7021416295549266,outbreak
Pen 2,221003_221106,5,2022-11-01,0.8660715536713597,0.13392844632864032,0.7321431073427194,outbreak
Pen 2,221003_221106,6,2022-10-31,0.8748351461753784,0.1251648538246217,0.7496702923507567,outbreak
Pen 2,221003_221106,7,2022-10-30,0.8834273423802861,0.11657265761971404,0.7668546847605721,outbreak
Pen 2,221003_221106,8,2022-10-29,0.8878035653675537,0.11219643463244643,0.7756071307351071,outbreak
Pen 2,221003_221106,9,2022-10-28,0.9066325990832896,0.09336740091671047,0.8132651981665792,outbreak
Pen 2,221003_221106,10,2022-10-27,0.9184863913334148,0.08151360866658518,0.8369727826668297,outbreak
Pen 2,221219_230125,0,2023-01-25,0.7183004779997239,0.28169952200027615,0.4366009559994477,outbreak
Pen 2,221219_230125,1,2023-01-24,0.729136600318581,0.2708633996814191,0.45827320063716187,outbreak
Pen 2,221219_230125,2,2023-01-23,0.7342522644795796,0.26574773552042036,0.4685045289591592,outbreak
Pen 2,221219_230125,3,2023-01-22,0.7315487045624721,0.26845129543752794,0.4630974091249442,outbreak
Pen 2,221219_230125,4,2023-01-21,0.7154820469302718,0.28451795306972816,0.4309640938605437,outbreak
Pen 2,221219_230125,5,2023-01-20,0.7335356086459098,0.26646439135409017,0.4670712172918197,outbreak
Pen 2,221219_230125,6,2023-01-19,0.756228931198963,0.24377106880103705,0.512457862397926,outbreak
Pen 2,221219_230125,7,2023-01-18,0.7907159622606351,0.2092840377393649,0.5814319245212701,outbreak
Pen 2,221219_230125,8,2023-01-17,0.7951379170026046,0.20486208299739528,0.5902758340052094,outbreak
Pen 2,221219_230125,9,2023-01-16,0.7983891514293476,0.20161084857065228,0.5967783028586954,outbreak
Pen 2,221219_230125,10,2023-01-15,0.8079149910931607,0.19208500890683933,0.6158299821863213,outbreak
Pen 2,230515_230621,0,2023-05-28,0.816424277586675,0.18357572241332498,0.6328485551733499,outbreak
Pen 2,230515_230621,1,2023-05-27,0.9012402374655517,0.09875976253444817,0.8024804749311037,outbreak
Pen 2,230515_230621,2,2023-05-26,0.9581544957128173,0.04184550428718268,0.9163089914256345,outbreak
Pen 2,230515_230621,3,2023-05-25,0.9532864013376722,0.04671359866232777,0.9065728026753445,outbreak
Pen 2,230515_230621,4,2023-05-24,0.9528069335787541,0.047193066421245856,0.9056138671575082,outbreak
Pen 2,230515_230621,5,2023-05-23,0.9454781623000535,0.054521837699946334,0.8909563246001073,outbreak
Pen 2,230515_230621,6,2023-05-22,0.940547891853754,0.059452108146246074,0.8810957837075079,outbreak
Pen 2,230515_230621,7,2023-05-21,0.9299578111727801,0.07004218882721985,0.8599156223455603,outbreak
Pen 2,230515_230621,8,2023-05-20,0.9305081874447536,0.06949181255524645,0.8610163748895071,outbreak
Pen 2,230515_230621,9,2023-05-19,0.9272103062452329,0.07278969375476715,0.8544206124904657,outbreak
Pen 2,230515_230621,10,2023-05-18,0.9276506903829821,0.07234930961701809,0.8553013807659638,outbreak
Pen 3,220228_220330,0,2022-03-30,0.42384667810517074,0.5761533218948293,-0.15230664378965844,outbreak
Pen 3,220228_220330,1,2022-03-29,0.46965222619609737,0.5303477738039026,-0.06069554760780521,outbreak
Pen 3,220228_220330,2,2022-03-28,0.5545443184649909,0.4454556815350092,0.10908863692998168,outbreak
Pen 3,220228_220330,3,2022-03-27,0.668776516293173,0.33122348370682697,0.33755303258634606,outbreak
Pen 3,220228_220330,4,2022-03-26,0.7472947356536735,0.25270526434632656,0.4945894713073468,outbreak
Pen 3,220228_220330,5,2022-03-25,0.8001998111759895,0.1998001888240105,0.600399622351979,outbreak
